Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2022-01-01,6:15 PM,33°F,28°F,82°%,NNE,21°mph,31°mph,29.17°in,0.0°in,Light Snow / Windy
2022-01-01,6:29 PM,32°F,27°F,82°%,NNE,22°mph,31°mph,29.17°in,0.0°in,Light Snow / Windy
2022-01-01,6:53 PM,32°F,27°F,82°%,NNE,21°mph,33°mph,29.18°in,0.0°in,Light Snow / Windy
2022-01-01,7:00 PM,32°F,28°F,85°%,NNE,22°mph,31°mph,29.18°in,0.0°in,Light Snow / Windy
2022-01-01,7:10 PM,32°F,28°F,85°%,NNE,21°mph,29°mph,29.17°in,0.0°in,Light Snow / Windy
2022-01-01,7:23 PM,32°F,28°F,85°%,NNE,23°mph,35°mph,29.17°in,0.0°in,Light Snow / Windy
2022-01-01,7:36 PM,33°F,27°F,78°%,NNE,22°mph,33°mph,29.19°in,0.0°in,Light Snow / Windy
2022-01-01,7:53 PM,32°F,27°F,82°%,NNE,22°mph,31°mph,29.17°in,0.0°in,Light Snow / Windy
2022-01-01,8:34 PM,33°F,26°F,75°%,NNE,22°mph,35°mph,29.18°in,0.0°in,Light Snow / Windy
2022-01-01,8:53 PM,32°F,26°F,79°%,NNE,21°mph,31°mph,29.18°in,0.0°in,Light Snow / Windy
2022-01-01,9:11 PM,32°F,26°F,79°%,NNE,24°mph,33°mph,29.18°in,0.0°in,Light Snow / Windy
2022-01-01,9:53 PM,32°F,26°F,79°%,NNE,24°mph,35°mph,29.19°in,0.0°in,Light Snow / Windy
2022-01-01,10:07 PM,32°F,26°F,79°%,NE,22°mph,30°mph,29.19°in,0.0°in,Light Snow / Windy
2022-01-01,10:53 PM,32°F,27°F,82°%,NNE,17°mph,0°mph,29.19°in,0.0°in,Light Snow
2022-01-01,11:13 PM,32°F,27°F,82°%,NE,14°mph,28°mph,29.19°in,0.0°in,Light Snow
2022-01-01,11:53 PM,31°F,26°F,82°%,NE,14°mph,0°mph,29.21°in,0.0°in,Light Snow
2022-01-01,12:13 AM,31°F,27°F,85°%,NE,21°mph,28°mph,29.21°in,0.0°in,Light Snow / Windy
2022-01-01,12:53 AM,32°F,26°F,79°%,NE,17°mph,26°mph,29.23°in,0.0°in,Light Snow
2022-01-02,1:53 AM,31°F,26°F,82°%,NNE,20°mph,26°mph,29.25°in,0.0°in,Light Snow
2022-01-02,2:43 AM,27°F,23°F,85°%,NNW,14°mph,25°mph,29.27°in,0.0°in,Light Snow
2022-01-02,2:53 AM,26°F,22°F,84°%,NNW,20°mph,0°mph,29.28°in,0.0°in,Light Snow
2022-01-02,3:10 AM,25°F,20°F,81°%,NNW,20°mph,0°mph,29.29°in,0.0°in,Light Snow
2022-01-02,3:22 AM,24°F,19°F,81°%,N,18°mph,28°mph,29.28°in,0.0°in,Light Snow
2022-01-02,3:53 AM,24°F,18°F,77°%,N,14°mph,0°mph,29.30°in,0.0°in,Light Snow
2022-01-02,4:01 AM,24°F,18°F,77°%,N,15°mph,0°mph,29.30°in,0.0°in,Light Snow
2022-01-02,4:53 AM,24°F,19°F,81°%,NNW,14°mph,0°mph,29.30°in,0.0°in,Light Snow
2022-01-02,5:53 AM,25°F,19°F,78°%,NNW,14°mph,0°mph,29.32°in,0.0°in,Light Snow
2022-01-02,6:53 AM,24°F,18°F,77°%,NNW,12°mph,0°mph,29.35°in,0.0°in,Light Snow
2022-01-02,7:45 AM,23°F,18°F,81°%,NNW,12°mph,0°mph,29.36°in,0.0°in,Light Snow
2022-01-02,7:53 AM,23°F,17°F,78°%,N,14°mph,0°mph,29.37°in,0.0°in,Light Snow
2022-01-02,8:03 AM,23°F,17°F,78°%,NNW,16°mph,0°mph,29.38°in,0.0°in,Light Snow
2022-01-02,8:28 AM,23°F,17°F,78°%,NNW,15°mph,0°mph,29.40°in,0.0°in,Light Snow
2022-01-02,8:53 AM,22°F,16°F,78°%,NNW,13°mph,0°mph,29.43°in,0.0°in,Light Snow
2022-01-02,9:48 AM,21°F,16°F,80°%,NNW,13°mph,0°mph,29.46°in,0.0°in,Light Snow
2022-01-02,9:53 AM,22°F,16°F,78°%,NW,14°mph,0°mph,29.46°in,0.0°in,Light Snow
2022-01-02,10:43 AM,23°F,16°F,74°%,NNW,12°mph,0°mph,29.48°in,0.0°in,Light Snow
2022-01-02,10:53 AM,23°F,16°F,74°%,NNW,12°mph,0°mph,29.48°in,0.0°in,Light Snow
