Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2014-01-01,12:51 AM,14°F,10°F,84°%,N,7°mph,0°mph,29.66°in,0.0°in,Cloudy
2014-01-01,1:36 AM,16°F,10°F,79°%,N,8°mph,0°mph,29.60°in,0.0°in,Cloudy
2014-01-01,1:51 AM,16°F,12°F,84°%,N,6°mph,0°mph,29.66°in,0.0°in,Cloudy
2014-01-01,2:51 AM,17°F,13°F,84°%,NNW,7°mph,0°mph,29.65°in,0.0°in,Cloudy
2014-01-01,3:51 AM,18°F,14°F,84°%,NNW,7°mph,0°mph,29.64°in,0.0°in,Cloudy
2014-01-01,4:36 AM,18°F,14°F,86°%,N,7°mph,0°mph,29.57°in,0.0°in,Cloudy
2014-01-01,4:51 AM,19°F,15°F,85°%,NNW,6°mph,0°mph,29.62°in,0.0°in,Cloudy
2014-01-01,5:51 AM,23°F,19°F,85°%,NE,10°mph,0°mph,29.62°in,0.0°in,Cloudy
2014-01-01,6:51 AM,22°F,19°F,89°%,E,8°mph,0°mph,29.62°in,0.0°in,Cloudy
2014-01-01,7:51 AM,22°F,18°F,85°%,E,13°mph,0°mph,29.62°in,0.0°in,Cloudy
2014-01-01,8:51 AM,22°F,16°F,78°%,E,15°mph,22°mph,29.62°in,0.0°in,Cloudy
2014-01-01,9:51 AM,22°F,16°F,78°%,ENE,14°mph,26°mph,29.64°in,0.0°in,Cloudy
2014-01-01,9:57 AM,21°F,18°F,86°%,E,15°mph,0°mph,29.59°in,0.0°in,Cloudy
2014-01-01,10:07 AM,21°F,18°F,86°%,ENE,16°mph,0°mph,29.60°in,0.0°in,Cloudy
2014-01-01,10:12 AM,21°F,18°F,86°%,ENE,17°mph,23°mph,29.60°in,0.0°in,Cloudy
2014-01-01,10:44 AM,21°F,18°F,86°%,ENE,13°mph,0°mph,29.60°in,0.0°in,Cloudy
2014-01-01,10:49 AM,21°F,18°F,86°%,ENE,17°mph,23°mph,29.60°in,0.0°in,Cloudy
2014-01-01,10:51 AM,22°F,17°F,82°%,ENE,16°mph,23°mph,29.65°in,0.0°in,Cloudy
2014-01-01,10:58 AM,21°F,18°F,86°%,ENE,15°mph,0°mph,29.60°in,0.0°in,Cloudy
2014-01-01,11:09 AM,21°F,18°F,86°%,ENE,15°mph,0°mph,29.60°in,0.0°in,Cloudy
2014-01-01,11:51 AM,22°F,18°F,85°%,ENE,15°mph,0°mph,29.63°in,0.0°in,Cloudy
2014-01-01,12:51 PM,22°F,18°F,85°%,ENE,16°mph,0°mph,29.61°in,0.0°in,Cloudy
2014-01-01,1:34 PM,21°F,18°F,86°%,ENE,16°mph,23°mph,29.55°in,0.0°in,Cloudy
2014-01-01,1:51 PM,22°F,18°F,85°%,ENE,15°mph,0°mph,29.59°in,0.0°in,Cloudy
2014-01-01,2:14 PM,21°F,18°F,86°%,ENE,17°mph,0°mph,29.53°in,0.0°in,Cloudy
2014-01-01,2:51 PM,22°F,18°F,85°%,ENE,18°mph,23°mph,29.58°in,0.0°in,Cloudy
2014-01-01,3:06 PM,21°F,18°F,86°%,ENE,16°mph,24°mph,29.52°in,0.0°in,Cloudy
2014-01-01,3:43 PM,21°F,18°F,86°%,NE,16°mph,0°mph,29.52°in,0.0°in,Cloudy
2014-01-01,3:51 PM,22°F,19°F,89°%,ENE,14°mph,0°mph,29.57°in,0.0°in,Cloudy
2014-01-01,4:00 PM,21°F,18°F,86°%,NE,16°mph,23°mph,29.52°in,0.0°in,Cloudy
2014-01-01,4:51 PM,23°F,19°F,85°%,ENE,14°mph,0°mph,29.58°in,0.0°in,Cloudy
2014-01-01,5:09 PM,21°F,19°F,93°%,ENE,14°mph,0°mph,29.52°in,0.0°in,Cloudy
2014-01-01,5:19 PM,21°F,19°F,93°%,E,12°mph,0°mph,29.52°in,0.0°in,Cloudy
2014-01-01,5:33 PM,21°F,19°F,93°%,E,14°mph,0°mph,29.52°in,0.0°in,Cloudy
2014-01-01,5:51 PM,22°F,19°F,89°%,ENE,15°mph,0°mph,29.57°in,0.0°in,Cloudy
2014-01-01,6:51 PM,22°F,18°F,85°%,ENE,14°mph,22°mph,29.56°in,0.0°in,Cloudy
2014-01-01,7:06 PM,21°F,18°F,86°%,ENE,16°mph,22°mph,29.52°in,0.0°in,Cloudy
2014-01-01,7:51 PM,22°F,17°F,82°%,ENE,14°mph,0°mph,29.57°in,0.0°in,Cloudy
2014-01-01,8:06 PM,21°F,18°F,86°%,E,14°mph,22°mph,29.53°in,0.0°in,Cloudy
2014-01-01,8:30 PM,21°F,18°F,86°%,ENE,15°mph,0°mph,29.52°in,0.0°in,Cloudy
2014-01-01,8:51 PM,21°F,17°F,85°%,ENE,14°mph,0°mph,29.57°in,0.0°in,Cloudy
2014-01-01,9:20 PM,21°F,18°F,86°%,ENE,15°mph,21°mph,29.52°in,0.0°in,Cloudy
2014-01-01,9:43 PM,21°F,16°F,80°%,ENE,13°mph,0°mph,29.52°in,0.0°in,Cloudy
2014-01-01,9:51 PM,21°F,17°F,85°%,ENE,14°mph,0°mph,29.56°in,0.0°in,Cloudy
2014-01-01,10:51 PM,21°F,17°F,85°%,ENE,13°mph,0°mph,29.55°in,0.0°in,Cloudy
2014-01-01,11:51 PM,21°F,17°F,85°%,NE,16°mph,0°mph,29.54°in,0.0°in,Cloudy
2014-01-01,12:27 AM,21°F,16°F,80°%,NE,18°mph,0°mph,29.48°in,0.0°in,Cloudy
2014-01-02,12:51 AM,21°F,16°F,81°%,NE,20°mph,0°mph,29.52°in,0.0°in,Cloudy
2014-01-02,1:51 AM,21°F,16°F,81°%,ENE,15°mph,0°mph,29.51°in,0.0°in,Cloudy
2014-01-02,2:12 AM,21°F,16°F,80°%,ENE,20°mph,0°mph,29.46°in,0.0°in,Cloudy
2014-01-02,2:51 AM,21°F,16°F,81°%,ENE,16°mph,0°mph,29.50°in,0.0°in,Cloudy
2014-01-02,3:51 AM,21°F,16°F,81°%,NE,15°mph,0°mph,29.50°in,0.0°in,Cloudy
2014-01-02,4:51 AM,22°F,17°F,82°%,NE,15°mph,0°mph,29.47°in,0.0°in,Cloudy
2014-01-02,4:58 AM,21°F,18°F,86°%,NE,14°mph,0°mph,29.42°in,0.0°in,Cloudy
2014-01-02,5:51 AM,22°F,18°F,85°%,NE,12°mph,0°mph,29.47°in,0.0°in,Cloudy
2014-01-02,6:21 AM,21°F,18°F,86°%,NE,14°mph,21°mph,29.43°in,0.0°in,Cloudy
2014-01-02,6:51 AM,22°F,18°F,85°%,NE,14°mph,0°mph,29.49°in,0.0°in,Cloudy
2014-01-02,7:51 AM,21°F,17°F,85°%,NE,12°mph,0°mph,29.50°in,0.0°in,Cloudy
2014-01-02,8:39 AM,19°F,18°F,93°%,NE,14°mph,0°mph,29.46°in,0.0°in,Cloudy
2014-01-02,8:51 AM,19°F,18°F,93°%,NE,14°mph,0°mph,29.46°in,0.0°in,Cloudy
2014-01-02,9:03 AM,19°F,18°F,93°%,NE,14°mph,0°mph,29.46°in,0.0°in,Cloudy
2014-01-02,9:51 AM,20°F,17°F,89°%,NNE,16°mph,0°mph,29.54°in,0.0°in,Cloudy
2014-01-02,10:37 AM,19°F,16°F,86°%,NNE,15°mph,23°mph,29.51°in,0.0°in,Cloudy
2014-01-02,10:51 AM,19°F,15°F,85°%,NE,18°mph,0°mph,29.56°in,0.0°in,Cloudy
2014-01-02,11:27 AM,19°F,14°F,80°%,NNE,20°mph,25°mph,29.52°in,0.0°in,Cloudy
2014-01-02,11:38 AM,19°F,12°F,74°%,NE,16°mph,0°mph,29.52°in,0.0°in,Cloudy
2014-01-02,11:51 AM,19°F,13°F,77°%,NE,16°mph,0°mph,29.57°in,0.0°in,Cloudy
2014-01-02,12:13 PM,19°F,12°F,74°%,NNE,17°mph,28°mph,29.51°in,0.0°in,Cloudy
2014-01-02,12:34 PM,19°F,12°F,74°%,NE,18°mph,24°mph,29.51°in,0.0°in,Cloudy
2014-01-02,12:43 PM,19°F,12°F,74°%,NNE,22°mph,26°mph,29.51°in,0.0°in,Cloudy / Windy
2014-01-02,12:51 PM,19°F,12°F,74°%,NNE,21°mph,29°mph,29.56°in,0.0°in,Cloudy / Windy
2014-01-02,1:16 PM,19°F,10°F,68°%,NNE,20°mph,28°mph,29.51°in,0.0°in,Cloudy
2014-01-02,1:46 PM,19°F,12°F,74°%,NNE,16°mph,25°mph,29.51°in,0.0°in,Cloudy
2014-01-02,1:47 PM,20°F,13°F,74°%,NNE,15°mph,25°mph,29.56°in,0.0°in,Cloudy
2014-01-02,1:55 PM,19°F,14°F,80°%,NNE,18°mph,23°mph,29.52°in,0.0°in,Cloudy
2014-01-02,2:04 PM,19°F,16°F,86°%,NNE,13°mph,24°mph,29.52°in,0.0°in,Cloudy
2014-01-02,2:11 PM,19°F,12°F,74°%,NNE,17°mph,23°mph,29.52°in,0.0°in,Cloudy
2014-01-02,2:32 PM,19°F,12°F,74°%,NNW,13°mph,24°mph,29.52°in,0.0°in,Cloudy
2014-01-02,2:47 PM,18°F,14°F,86°%,NNW,14°mph,0°mph,29.53°in,0.0°in,Cloudy
2014-01-02,2:51 PM,18°F,14°F,84°%,NNW,14°mph,0°mph,29.58°in,0.0°in,Cloudy
2014-01-02,2:55 PM,18°F,14°F,86°%,NNW,13°mph,0°mph,29.53°in,0.0°in,Cloudy
2014-01-02,3:51 PM,17°F,13°F,84°%,NNW,14°mph,0°mph,29.61°in,0.0°in,Cloudy
2014-01-02,4:20 PM,18°F,14°F,86°%,NNW,14°mph,0°mph,29.57°in,0.0°in,Cloudy
2014-01-02,4:31 PM,18°F,12°F,79°%,NNW,13°mph,0°mph,29.58°in,0.0°in,Cloudy
2014-01-02,4:43 PM,18°F,12°F,79°%,NNW,14°mph,0°mph,29.58°in,0.0°in,Cloudy
2014-01-02,4:51 PM,17°F,12°F,81°%,NW,15°mph,0°mph,29.64°in,0.0°in,Mostly Cloudy
2014-01-02,5:09 PM,18°F,12°F,79°%,NNW,16°mph,0°mph,29.60°in,0.0°in,Cloudy
2014-01-02,5:16 PM,18°F,12°F,79°%,NNW,18°mph,0°mph,29.60°in,0.0°in,Mostly Cloudy
2014-01-02,5:45 PM,16°F,9°F,73°%,NW,14°mph,0°mph,29.62°in,0.0°in,Mostly Cloudy
2014-01-02,5:51 PM,16°F,8°F,71°%,NNW,15°mph,0°mph,29.67°in,0.0°in,Mostly Cloudy
2014-01-02,6:51 PM,14°F,6°F,71°%,NW,14°mph,0°mph,29.70°in,0.0°in,Fair
2014-01-02,7:51 PM,11°F,2°F,67°%,NNW,17°mph,0°mph,29.72°in,0.0°in,Fair
2014-01-02,8:51 PM,9°F,1°F,70°%,NNW,16°mph,0°mph,29.74°in,0.0°in,Fair
2014-01-02,9:51 PM,7°F,-1°F,70°%,NW,13°mph,0°mph,29.75°in,0.0°in,Fair
2014-01-02,10:51 PM,7°F,-2°F,67°%,NNW,10°mph,0°mph,29.76°in,0.0°in,Fair
2014-01-02,11:51 PM,6°F,-3°F,67°%,NW,12°mph,0°mph,29.78°in,0.0°in,Fair
2014-01-03,12:51 AM,5°F,-4°F,66°%,NNW,10°mph,0°mph,29.78°in,0.0°in,Fair
2014-01-03,1:51 AM,4°F,-5°F,66°%,NW,7°mph,0°mph,29.76°in,0.0°in,Fair
2014-01-03,2:51 AM,3°F,-5°F,69°%,WNW,6°mph,0°mph,29.79°in,0.0°in,Fair
2014-01-03,3:51 AM,1°F,-6°F,72°%,WNW,3°mph,0°mph,29.81°in,0.0°in,Fair
2014-01-03,4:51 AM,0°F,-6°F,76°%,W,6°mph,0°mph,29.80°in,0.0°in,Fair
2014-01-03,5:51 AM,1°F,-5°F,75°%,SW,5°mph,0°mph,29.80°in,0.0°in,Fair
2014-01-03,6:51 AM,-1°F,-5°F,83°%,SW,3°mph,0°mph,29.81°in,0.0°in,Fair
